symptoms,disease
"Coughing (sometimes with blood), shortness of breath, fever, chest pain, fatigue.",Aspergillosis
"Shortness of breath, wheezing, chest tightness, coughing, especially at night or early morning.",Asthma
"Headaches, nausea, vomiting, seizures, changes in personality, difficulty speaking.",Astrocytoma
"Lack of balance, slurred speech, difficulty walking, frequent infections.",Ataxia Telangiectasia
"Chest pain, shortness of breath, fatigue, confusion, muscle weakness.",Atherosclerosis
"Dry, itchy skin, red patches, cracked skin, fluid-filled blisters.",Atopic Dermatitis (Eczema)
"Irregular heartbeat, palpitations, dizziness, shortness of breath, chest pain.",Atrial Fibrillation
"Fatigue, shortness of breath, heart palpitations, swelling in the legs and feet.",Atrial Septal Defect
"Fatigue, abdominal discomfort, jaundice, joint pain, dark urine, skin rashes.",Autoimmune Hepatitis
"Upper abdominal pain, jaundice, weight loss, diabetes.",Autoimmune Pancreatitis
"High blood pressure, back pain, headaches, blood in urine, kidney stones.",Autosomal Dominant Polycystic Kidney Disease
"Fever, cough, sore throat, muscle aches, shortness of breath, vomiting.",Avian Influenza (Bird Flu)
"Excessive sweating in the underarms, odor, skin irritation.",Axillary Hyperhidrosis
"Fatigue, confusion, nausea, fluid retention, increased urination, high blood pressure.",Azotemia
"No sperm in semen, difficulty conceiving, hormonal imbalance, testicular pain.",Azoospermia
Generally asymptomatic; sometimes chest pain or breathing issues,Azygous Lobe of Lung
"Cough (with or without mucus), fatigue, shortness of breath, slight fever, chest discomfort.",Acute Bronchitis
"Abdominal pain, diarrhea (sometimes with blood), nausea, fatigue, fever.",Amebiasis
"Joint pain, stiffness, swelling, redness, decreased range of motion, fatigue.",Arthritis
"Pimples, blackheads, whiteheads, oily skin, and sometimes scarring.",Acne
"Irregular heartbeat, palpitations, shortness of breath, chest pain, weakness.",Atrial Fibrillation
"Memory loss, confusion, difficulty with familiar tasks, personality changes, language problems.",Alzheimer's Disease
"Fatigue, abdominal discomfort, jaundice, joint pain, skin rashes, dark urine.",Autoimmune Hepatitis
"Sneezing, runny nose, itchy eyes, nasal congestion, coughing, fatigue.",Allergic Rhinitis
"Chest pain (angina), shortness of breath, fatigue, confusion, muscle weakness, leg pain.",Atherosclerosis
"Dry, itchy skin, red patches, cracked skin, fluid-filled blisters, skin infections.",Atopic Dermatitis (Eczema)
"Hair loss, patchy bald spots, nail abnormalities.",Alopecia Areata
"Chronic back pain, stiffness in the spine, reduced flexibility, fatigue, inflammation of the eyes.",Ankylosing Spondylitis
"Vaginal discharge, fish-like odor, itching, burning during urination.",Bacterial Vaginosis
"Diarrhea (sometimes with blood), abdominal pain, fever, nausea, vomiting, dehydration.",Bacillary Dysentery
"Cough, chest tightness, shortness of breath, fever, fatigue.",Bagassosis
"Heartburn, regurgitation of food or liquids, difficulty swallowing, chest pain.",Barrett's Esophagus
"Pearly or waxy bump, flat lesion with a scaly, crusty surface, open sore that doesn’t heal.",Basal Cell Carcinoma
"Vision loss, seizures, cognitive decline, movement disorders, premature death.",Batten Disease
"Mouth sores, genital sores, eye inflammation, joint pain, skin lesions.",Behçet's Disease
"Sudden weakness or paralysis on one side of the face, drooping mouth, difficulty closing one eye.",Bell's Palsy
"Frequent urination, weak urine stream, difficulty starting urination, inability to empty the bladder completely.",Benign Prostatic Hyperplasia (BPH)
"Fatigue, muscle weakness, difficulty breathing, rapid heart rate, swelling in the legs.",Beriberi
"Chest pain, shortness of breath, fatigue, dizziness, irregular heartbeat.",Bicuspid Aortic Valve Disease
"Jaundice, abdominal pain, weight loss, fever, itching.",Bile Duct Cancer (Cholangiocarcinoma)
"Jaundice, dark urine, pale stools, enlarged liver, poor weight gain.",Biliary Atresia
"Mood swings, periods of mania (euphoria, hyperactivity), depression, irritability, changes in energy levels.",Bipolar Disorder
"Shortness of breath, chronic cough, chest pain, fatigue, respiratory failure.",Black Lung Disease (Coal Workers' Pneumoconiosis)
"Fever, cough, night sweats, muscle aches, chest pain, fatigue, weight loss.",Blastomycosis
"Red, swollen eyelids, crusty eyelashes, itching, burning sensation in the eyes, sensitivity to light.",Blepharitis
"Abdominal pain, bloating, diarrhea, weight loss, fatigue, malnutrition.",Blind Loop Syndrome
"Swelling in one limb, pain or tenderness, skin redness, warmth in affected area, difficulty breathing (if in lungs).",Blood Clot
"Red, swollen, painful lump on the skin, pus-filled center, fever, fatigue (if severe).",Boils (Furuncles)
"Bone pain, swelling, tenderness near the affected area, fractures, fatigue, weight loss.",Bone Cancer
"Muscle weakness, difficulty breathing, trouble swallowing, blurred vision, drooping eyelids, paralysis.",Botulism
"Red, scaly patches on the skin, often on sun-exposed areas, itching or discomfort in affected areas.",Bowen's Disease
"Headache, fever, confusion, seizures, changes in vision or speech, weakness on one side of the body.",Brain Abscess
"Sudden severe headache, nausea, vomiting, vision impairment, sensitivity to light, loss of consciousness.",Brain Aneurysm
"Headaches, seizures, memory loss, confusion, changes in personality, vision problems, difficulty walking.",Brain Tumor
"Slow heart rate, fatigue, dizziness, shortness of breath, chest pain, confusion.",Bradycardia
"Sweet-smelling urine, vomiting, lethargy, seizures, developmental delays, poor feeding in infants.",Branched-Chain Ketoaciduria (Maple Syrup Urine Disease)
"Fever, headache, rash, joint pain, muscle pain, fatigue, nausea.",Brill-Zinsser Disease
"Fever, sweats, muscle pain, joint pain, fatigue, weight loss, headaches.",Brucellosis
"Chronic cough, large amounts of mucus, shortness of breath, wheezing, chest pain, fatigue.",Bronchiectasis
"Cough (with or without mucus), chest discomfort, fatigue, shortness of breath, slight fever, chills.",Bronchitis
"Rapid breathing, shortness of breath, wheezing, cyanosis (bluish skin), poor growth, frequent lung infections.",Bronchopulmonary Dysplasia
"Sudden difficulty breathing, wheezing, tightness in the chest, shortness of breath, coughing.",Bronchospasm
"Irregular heartbeats, fainting, sudden cardiac arrest, dizziness, chest pain.",Brugada Syndrome
"Swollen lymph nodes, fever, chills, headache, fatigue, muscle aches, seizures.",Bubonic Plague
"Pain in the legs or arms, skin ulcers, cold hands and feet, gangrene, poor circulation, claudication.",Buerger's Disease
"Itchy skin, large blisters, redness, swelling, tenderness, skin irritation.",Bullous Pemphigoid
"No symptoms in mild cases; in severe cases, fainting, dizziness, fatigue, shortness of breath.",Bundle Branch Block
"Joint pain, swelling, stiffness, warmth over the affected joint, limited range of motion.",Bursitis
"Chest tightness, cough, wheezing, shortness of breath, fatigue, fever (in severe cases).",Byssinosis (Brown Lung Disease)
"Fever, chills, fatigue, muscle aches, joint pain, headache, nausea.",Babesiosis
"Fever, chills, fatigue, aching joints and muscles, shortness of breath, weight loss.",Bacterial Endocarditis
"Severe headache, fever, stiff neck, sensitivity to light, confusion, nausea, vomiting.",Bacterial Meningitis
"Pain, redness, swelling at the tip of the penis, itching, discomfort during urination, discharge.",Balanitis
"Chronic back pain, stiffness, reduced flexibility, fatigue, joint pain, eye inflammation.",Bamboo Spine (Ankylosing Spondylitis)
"Enlarged spleen, abdominal discomfort, fatigue, bleeding tendencies, anemia.",Banti’s Syndrome
"Infection, bleeding, leaks at surgical connections, malnutrition, bowel obstruction.",Bariatric Surgery Complications
"Cough, shortness of breath, wheezing, chest discomfort (caused by inhaling barium dust).",Baritosis
"Severe headache, dizziness, visual disturbances, difficulty speaking, ringing in the ears, confusion.",Basilar Migraine
No symptoms except for the cosmetic appearance of ears protruding outward.,Bat Ear Deformity
"Muscle weakness, difficulty walking, enlarged calves, fatigue, heart problems.",Becker Muscular Dystrophy
"Shaking hands, head nodding, voice tremors, difficulty writing, trouble eating or drinking.",Benign Essential Tremor
"Muscle twitching, fatigue, anxiety, cramps, tingling, weakness (rare).",Benign Fasciculation Syndrome
"Dizziness, vertigo, nausea, loss of balance, blurred vision.",Benign Paroxysmal Positional Vertigo (BPPV)
"Cough, shortness of breath, fatigue, chest pain, weight loss, fever.",Berylliosis
"Fatigue, weakness, pale skin, delayed growth, abdominal swelling, dark urine.",Beta-Thalassemia
"Absence of both kidneys, severe breathing problems, underdeveloped lungs, swollen abdomen (seen in fetuses).",Bilateral Renal Agenesis
"Upper abdominal pain, frequent heartburn, nausea, vomiting bile, cough.",Bile Reflux
"Fatigue, itching, dry eyes, dry mouth, jaundice, swollen legs.",Biliary Cirrhosis (Primary Biliary Cholangitis)
"Eating large amounts of food in a short time, feeling out of control, shame, depression, weight gain.",Binge Eating Disorder
"Mood swings, mania, depression, irritability, impulsive behavior, changes in energy levels.",Bipolar Affective Disorder
"Blackened tissue in the mouth or nose, facial swelling, fever, headache, shortness of breath, coughing.",Black Fungus (Mucormycosis)
"Dark urine, jaundice, fever, chills, kidney damage, fatigue.",Blackwater Fever (Malaria Complication)
"Blood in urine, frequent urination, painful urination, back pain, pelvic pain.",Bladder Cancer
"Frequent, urgent urination, painful urination, cloudy or strong-smelling urine, pelvic discomfort.",Bladder Infection (Cystitis)
"Chest pain, shortness of breath, coughing, wheezing, bleeding from the nose or mouth (caused by explosive blast).",Blast Lung Injury
"Excessive bleeding from cuts, easy bruising, nosebleeds, heavy menstrual bleeding.",Bleeding Disorders
"Loss of vision, inability to see light or shadows, difficulty recognizing objects or people.",Blindness
"Skin rashes, blisters, hyperpigmentation, delayed tooth development, vision problems.",Bloch-Sulzberger Syndrome (Incontinentia Pigmenti)
"Headache, dizziness, chest pain, nosebleeds, shortness of breath (often asymptomatic).","Blood Pressure, High (Hypertension)"
"Fever, chills, rapid breathing, rapid heart rate, confusion, nausea, vomiting.",Blood Poisoning (Septicemia)
"Dark blue skin lesions, bleeding in the digestive tract, anemia, abdominal pain, bloody stools.",Blue Rubber Bleb Nevus Syndrome
"Severe chest pain, vomiting, fever, difficulty breathing, shock (caused by a tear in the esophagus).",Boerhaave Syndrome
"Fatigue, easy bruising, frequent infections, shortness of breath, pale skin.",Bone Marrow Failure
"Fever, headache, fatigue, skin rash, joint pain, heart problems, neurological issues.",Borrelia Burgdorferi Infection (Lyme Disease)
"Red or brown patches or bumps on the genitals, itching, tenderness, no other symptoms (pre-cancerous condition).",Bowenoid Papulosis
"Headache, confusion, memory loss, dizziness, nausea, loss of consciousness, seizures, personality changes.",Brain Injury (Traumatic)
"Headaches, seizures, weakness in one side of the body, confusion, personality changes, vision problems.",Brain Metastases
"Headaches, nausea, vomiting, difficulty walking, double vision, trouble speaking, difficulty swallowing.",Brain Stem Glioma
"Sudden loss of vision in one eye, blurred vision, dark spots, floaters.",Branch Retinal Vein Occlusion
"High fever, severe headaches, joint and muscle pain, rash, bleeding, fatigue, vomiting.",Breakbone Fever (Dengue Fever)
"Lump in the breast, changes in breast size or shape, nipple discharge, breast pain, skin dimpling.",Breast Cancer
"Breast pain, swelling, warmth, redness, fever, chills, fatigue.",Breast Infection (Mastitis)
"Persistent cough, large amounts of mucus, shortness of breath, wheezing, chest pain, fatigue.",Bronchiectasis
"Vaginal discharge, fish-like odor, itching, burning during urination.",Bacterial Vaginosis
"Diarrhea (sometimes with blood), abdominal pain, fever, nausea, vomiting, dehydration.",Bacillary Dysentery
"Cough, chest tightness, shortness of breath, fever, fatigue.",Bagassosis
"Heartburn, regurgitation of food or liquids, difficulty swallowing, chest pain.",Barrett's Esophagus
"Pearly or waxy bump, flat lesion with a scaly, crusty surface, open sore that doesn’t heal.",Basal Cell Carcinoma
"Vision loss, seizures, cognitive decline, movement disorders, premature death.",Batten Disease
"Mouth sores, genital sores, eye inflammation, joint pain, skin lesions.",Behçet's Disease
"Sudden weakness or paralysis on one side of the face, drooping mouth, difficulty closing one eye.",Bell's Palsy
"Frequent urination, weak urine stream, difficulty starting urination, inability to empty the bladder completely.",Benign Prostatic Hyperplasia (BPH)
"Fatigue, muscle weakness, difficulty breathing, rapid heart rate, swelling in the legs.",Beriberi
"Chest pain, shortness of breath, fatigue, dizziness, irregular heartbeat.",Bicuspid Aortic Valve Disease
"Jaundice, abdominal pain, weight loss, fever, itching.",Bile Duct Cancer (Cholangiocarcinoma)
"Jaundice, dark urine, pale stools, enlarged liver, poor weight gain.",Biliary Atresia
"Mood swings, periods of mania (euphoria, hyperactivity), depression, irritability, changes in energy levels.",Bipolar Disorder
"Shortness of breath, chronic cough, chest pain, fatigue, respiratory failure.",Black Lung Disease (Coal Workers' Pneumoconiosis)
"Fever, cough, night sweats, muscle aches, chest pain, fatigue, weight loss.",Blastomycosis
"Red, swollen eyelids, crusty eyelashes, itching, burning sensation in the eyes, sensitivity to light.",Blepharitis
"Abdominal pain, bloating, diarrhea, weight loss, fatigue, malnutrition.",Blind Loop Syndrome
"Swelling in one limb, pain or tenderness, skin redness, warmth in affected area, difficulty breathing (if in lungs).",Blood Clot
"Red, swollen, painful lump on the skin, pus-filled center, fever, fatigue (if severe).",Boils (Furuncles)
"Bone pain, swelling, tenderness near the affected area, fractures, fatigue, weight loss.",Bone Cancer
"Muscle weakness, difficulty breathing, trouble swallowing, blurred vision, drooping eyelids, paralysis.",Botulism
"Red, scaly patches on the skin, often on sun-exposed areas, itching or discomfort in affected areas.",Bowen's Disease
"Headache, fever, confusion, seizures, changes in vision or speech, weakness on one side of the body.",Brain Abscess
"Sudden severe headache, nausea, vomiting, vision impairment, sensitivity to light, loss of consciousness.",Brain Aneurysm
"Headaches, seizures, memory loss, confusion, changes in personality, vision problems, difficulty walking.",Brain Tumor
"Slow heart rate, fatigue, dizziness, shortness of breath, chest pain, confusion.",Bradycardia
"Sweet-smelling urine, vomiting, lethargy, seizures, developmental delays, poor feeding in infants.",Branched-Chain Ketoaciduria (Maple Syrup Urine Disease)
"Fever, headache, rash, joint pain, muscle pain, fatigue, nausea.",Brill-Zinsser Disease
"Fever, sweats, muscle pain, joint pain, fatigue, weight loss, headaches.",Brucellosis
"Chronic cough, large amounts of mucus, shortness of breath, wheezing, chest pain, fatigue.",Bronchiectasis
"Cough (with or without mucus), chest discomfort, fatigue, shortness of breath, slight fever, chills.",Bronchitis
"Rapid breathing, shortness of breath, wheezing, cyanosis (bluish skin), poor growth, frequent lung infections.",Bronchopulmonary Dysplasia
"Sudden difficulty breathing, wheezing, tightness in the chest, shortness of breath, coughing.",Bronchospasm
"Irregular heartbeats, fainting, sudden cardiac arrest, dizziness, chest pain.",Brugada Syndrome
"Swollen lymph nodes, fever, chills, headache, fatigue, muscle aches, seizures.",Bubonic Plague
"Pain in the legs or arms, skin ulcers, cold hands and feet, gangrene, poor circulation, claudication.",Buerger's Disease
"Itchy skin, large blisters, redness, swelling, tenderness, skin irritation.",Bullous Pemphigoid
"No symptoms in mild cases; in severe cases, fainting, dizziness, fatigue, shortness of breath.",Bundle Branch Block
"Joint pain, swelling, stiffness, warmth over the affected joint, limited range of motion.",Bursitis
"Chest tightness, cough, wheezing, shortness of breath, fatigue, fever (in severe cases).",Byssinosis (Brown Lung Disease)
"Fever, chills, fatigue, muscle aches, joint pain, headache, nausea.",Babesiosis
"Fever, chills, fatigue, aching joints and muscles, shortness of breath, weight loss.",Bacterial Endocarditis
"Severe headache, fever, stiff neck, sensitivity to light, confusion, nausea, vomiting.",Bacterial Meningitis
"Pain, redness, swelling at the tip of the penis, itching, discomfort during urination, discharge.",Balanitis
"Chronic back pain, stiffness, reduced flexibility, fatigue, joint pain, eye inflammation.",Bamboo Spine (Ankylosing Spondylitis)
"Enlarged spleen, abdominal discomfort, fatigue, bleeding tendencies, anemia.",Banti’s Syndrome
"Infection, bleeding, leaks at surgical connections, malnutrition, bowel obstruction.",Bariatric Surgery Complications
"Cough, shortness of breath, wheezing, chest discomfort (caused by inhaling barium dust).",Baritosis
"Severe headache, dizziness, visual disturbances, difficulty speaking, ringing in the ears, confusion.",Basilar Migraine
No symptoms except for the cosmetic appearance of ears protruding outward.,Bat Ear Deformity
"Muscle weakness, difficulty walking, enlarged calves, fatigue, heart problems.",Becker Muscular Dystrophy
"Shaking hands, head nodding, voice tremors, difficulty writing, trouble eating or drinking.",Benign Essential Tremor
"Muscle twitching, fatigue, anxiety, cramps, tingling, weakness (rare).",Benign Fasciculation Syndrome
"Dizziness, vertigo, nausea, loss of balance, blurred vision.",Benign Paroxysmal Positional Vertigo (BPPV)
"Cough, shortness of breath, fatigue, chest pain, weight loss, fever.",Berylliosis
"Fatigue, weakness, pale skin, delayed growth, abdominal swelling, dark urine.",Beta-Thalassemia
"Absence of both kidneys, severe breathing problems, underdeveloped lungs, swollen abdomen (seen in fetuses).",Bilateral Renal Agenesis
"Upper abdominal pain, frequent heartburn, nausea, vomiting bile, cough.",Bile Reflux
"Fatigue, itching, dry eyes, dry mouth, jaundice, swollen legs.",Biliary Cirrhosis (Primary Biliary Cholangitis)
"Eating large amounts of food in a short time, feeling out of control, shame, depression, weight gain.",Binge Eating Disorder
"Mood swings, mania, depression, irritability, impulsive behavior, changes in energy levels.",Bipolar Affective Disorder
"Blackened tissue in the mouth or nose, facial swelling, fever, headache, shortness of breath, coughing.",Black Fungus (Mucormycosis)
"Dark urine, jaundice, fever, chills, kidney damage, fatigue.",Blackwater Fever (Malaria Complication)
Blood in urine,Bladder Cancer
"Itching, redness, white discharge, soreness, pain during intercourse.",Candidiasis
"Unexplained weight loss, fatigue, pain, changes in skin, persistent cough, unusual bleeding.",Cancer
"Shortness of breath, fatigue, swelling in legs, irregular heartbeats, dizziness.",Cardiomyopathy
"Diarrhea, weight loss, bloating, gas, fatigue, anemia.",Celiac Disease
"Muscle stiffness, difficulty walking, delayed development, involuntary movements, speech difficulties.",Cerebral Palsy
"Shortness of breath, chronic cough, wheezing, chest tightness, frequent respiratory infections.",Chronic Obstructive Pulmonary Disease (COPD)
"Fatigue, swollen ankles, high blood pressure, changes in urination, nausea.",Chronic Kidney Disease
"Persistent fatigue, sleep problems, muscle pain, joint pain, headaches, difficulty concentrating.",Chronic Fatigue Syndrome
"Persistent pain, fatigue, sleep disturbances, mood changes, difficulty concentrating.",Chronic Pain Syndrome
"Asthma, sinusitis, skin rashes, fatigue, muscle and joint pain, nerve damage.",Churg-Strauss Syndrome
"Fatigue, easy bruising, jaundice, swelling in legs and abdomen, confusion.",Cirrhosis
"Cleft or opening in the lip and/or roof of the mouth, feeding difficulties, speech problems.",Cleft Lip and/or Palate
"Diarrhea, abdominal pain, fever, nausea, loss of appetite.",Clostridium Difficile Infection
"Blisters on lips or around the mouth, itching, burning, pain.",Cold Sores (Herpes Simplex Virus)
"Abdominal pain, diarrhea, rectal bleeding, urgency to defecate, weight loss.",Colitis
"Changes in bowel habits, blood in stool, abdominal discomfort, unexplained weight loss.",Colorectal Cancer
"Rapid breathing, cyanosis, fatigue, poor feeding, heart murmur.",Congenital Heart Disease
"Shortness of breath, fatigue, swollen legs, rapid or irregular heartbeat, persistent cough.",Congestive Heart Failure
"Infrequent bowel movements, hard or lumpy stools, straining during bowel movements, abdominal discomfort.",Constipation
"Red, itchy rash, swelling, blisters, dry, cracked skin.",Contact Dermatitis
"Chest pain, shortness of breath, fatigue, heart attack symptoms (nausea, sweating).",Coronary Artery Disease
"Barking cough, stridor (high-pitched sound during breathing), hoarseness, difficulty breathing.",Croup
"Muscle pain, weakness, swelling, kidney damage, shock (after prolonged compression of muscle tissue).",Crush Syndrome
"Weight gain, rounded face, easy bruising, high blood pressure, skin changes.",Cushing's Syndrome
"Red patches or plaques on the skin, itching, skin discoloration, swollen lymph nodes.",Cutaneous T-cell Lymphoma
"Persistent cough, lung infections, difficulty breathing, digestive problems, salty sweat.",Cystic Fibrosis
"Frequent urination, painful urination, pelvic discomfort, cloudy or strong-smelling urine.",Cystitis
"Fever, fatigue, swollen glands, sore throat, body aches (often asymptomatic in healthy individuals).",Cytomegalovirus (CMV) Infection
"Mood swings, periods of hypomania and depression, irritability, impulsiveness.",Cyclothymic Disorder
"Abnormal vaginal bleeding, pelvic pain, pain during intercourse, unusual discharge.",Cervical Cancer
"Neck pain, stiffness, headaches, weakness in arms, numbness or tingling in hands.",Cervical Spondylosis
"Muscle weakness, foot deformities, loss of sensation in feet and hands, difficulty walking.",Charcot-Marie-Tooth Disease
"Fever, fatigue, swelling at the bite site, heart problems, gastrointestinal issues (chronic phase).",Chagas Disease
"Nausea, vomiting, fatigue, loss of appetite, dehydration.",Chemotherapy-Induced Nausea and Vomiting
"Itchy rash, fever, fatigue, loss of appetite, headache.",Chickenpox (Varicella)
"Abnormal vaginal or penile discharge, burning sensation during urination, abdominal pain, fever.",Chlamydia
"Sudden pain in the upper right abdomen, nausea, vomiting, fever, bloating.",Cholecystitis
"Severe pain in the upper right abdomen, nausea, vomiting, jaundice, indigestion.",Cholelithiasis (Gallstones)
"Swollen lymph nodes, fatigue, weight loss, frequent infections, easy bruising or bleeding.",Chronic Lymphocytic Leukemia (CLL)
"Fatigue, night sweats, weight loss, abdominal discomfort, frequent infections.",Chronic Myeloid Leukemia (CML)
"Asthma, sinusitis, rash, peripheral neuropathy, abdominal pain, kidney problems.",Churg-Strauss Syndrome
"Blisters on the skin and mucous membranes, scarring, difficulty swallowing, redness and swelling.",Cicatricial Pemphigoid
"Itchy bites, redness, swelling, secondary infections from scratching, insomnia.",Cimex lectularius Infestation (Bed Bugs)
"Fatigue, jaundice, easy bruising, swelling in legs, confusion, abdominal pain.",Cirrhosis of the Liver
"Abdominal pain, diarrhea, fever, vomiting, dehydration.",Citrobacter Infection
"Painful, curled toes, difficulty walking, calluses, corns on the toe.",Claw Toe
"Repetitive strain injuries, pain in wrists, fingers, neck, back, fatigue.",Clerical Syndrome (Clerical Work-Related Injuries)
"Diarrhea, abdominal cramps, nausea, vomiting, fever (from food poisoning).",Clostridium Perfringens Infection
"Fatigue, jaundice, dark urine, pale skin, shortness of breath, cold sensitivity.",Cold Agglutinin Disease
"Itchy, red welts on the skin after exposure to cold, swelling, difficulty breathing (in severe cases).",Cold Urticaria
"Joint pain, fatigue, skin rashes, fever, swelling, muscle weakness.",Collagen Vascular Diseases
"Inability to distinguish between certain colors, difficulty identifying color changes.",Color Blindness
"Loss of honeybee colonies, decreased pollination, agricultural impact (not a human disease).",Colony Collapse Disorder (CCD)
"Blackheads and whiteheads, skin bumps, oily skin, enlarged pores.",Comedonal Acne
"Runny or stuffy nose, sore throat, coughing, sneezing, headache, body aches, fatigue.",Common Cold
"Headache, confusion, dizziness, nausea, sensitivity to light and noise, difficulty concentrating.",Concussion
"Disorientation, memory problems, difficulty focusing, agitation, altered awareness.",Confusion
"Ambiguous genitalia in females, early puberty, infertility, electrolyte imbalances.",Congenital Adrenal Hyperplasia
"Poor growth, developmental delays, fatigue, low muscle tone, yellowish skin (jaundice).",Congenital Hypothyroidism
"Infrequent bowel movements, hard or lumpy stools, abdominal discomfort, bloating.",Constipation
"Red, itchy rash, swelling, blisters, dry, cracked skin.",Contact Dermatitis
"Eye pain, redness, tearing, sensitivity to light, blurred vision.",Corneal Abrasion
"Chest pain, shortness of breath, fatigue, heart attack symptoms.",Coronary Artery Disease
"Chest pain, tenderness along the breastbone, pain worsened by movement or deep breaths.",Costochondritis
"Barking cough, stridor, difficulty breathing, hoarseness, fever.",Croup
"Fever, cough, chest pain, headache, confusion (especially in immunocompromised individuals).",Cryptococcosis
"Skin rashes, joint pain, kidney problems, fatigue, neuropathy.",Cryoglobulinemia
"Barking cough, difficulty breathing, stridor, fever.",Croup (Laryngotracheobronchitis)
"Weight gain, rounded face, easy bruising, high blood pressure, skin changes.",Cushing's Disease
"Skin sores, ulcers, swelling, lesions (following a sandfly bite).",Cutaneous Leishmaniasis
